osgb4000000074548668,http://data.ordnancesurvey.co.uk/id/osgb4000000074548668,Highbridge,,,,populatedPlace,Hamlet,219888.490,782012.050,5000,25000,219624.701,781753.168,220124.701,782253.168,PH34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PH34,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074541301,http://data.ordnancesurvey.co.uk/id/osgb4000000074541301,Muirshearlich,,,,populatedPlace,Hamlet,213937.140,780580.410,5000,25000,213592.905,780146.615,214396.930,780973.148,PH33,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PH33,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Muirshearlich,
osgb4000000074549048,http://data.ordnancesurvey.co.uk/id/osgb4000000074549048,Achnacarry,,,,populatedPlace,Hamlet,217525.700,787906.350,5000,25000,217235.688,787614.230,217739.725,788114.230,PH34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PH34,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Achnacarry,
osgb4000000074543030,http://data.ordnancesurvey.co.uk/id/osgb4000000074543030,Gearr Lochaidh,gla,Gairlochy,eng,populatedPlace,Other Settlement,217574.000,784227.000,15000,25000,217201.257,783368.862,218998.647,784645.747,PH34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PH34,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Gairlochy,http://sws.geonames.org/2648939
PH344EJ,http://data.ordnancesurvey.co.uk/id/postcodeunit/PH344EJ,PH34 4EJ,,,,other,Postcode,218529.787,787951.392,3500,18000,,,,,,,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PH344EX,http://data.ordnancesurvey.co.uk/id/postcodeunit/PH344EX,PH34 4EX,,,,other,Postcode,219520.726,781313.788,3500,18000,,,,,,,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PH344EL,http://data.ordnancesurvey.co.uk/id/postcodeunit/PH344EL,PH34 4EL,,,,other,Postcode,206504.508,791134.136,3500,18000,,,,,,,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PH337PD,http://data.ordnancesurvey.co.uk/id/postcodeunit/PH337PD,PH33 7PD,,,,other,Postcode,213705.165,781758.458,3500,18000,,,,,,,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PH344EQ,http://data.ordnancesurvey.co.uk/id/postcodeunit/PH344EQ,PH34 4EQ,,,,other,Postcode,218180.332,784100.941,3500,18000,,,,,,,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000004306068,http://data.ordnancesurvey.co.uk/id/osgb4000000004306068,B8005,,,,transportNetwork,Numbered Road,218670.000,786464.000,31000,250000,217227.413,784130.988,220085.000,788848.000,PH34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PH34,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
