osgb4000000074548537,http://data.ordnancesurvey.co.uk/id/osgb4000000074548537,Broadmayne,,,,populatedPlace,Village,372987.790,86547.420,15000,250000,371865.708,85697.299,374139.440,86857.267,DT2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DT2,,,,West Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014539,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014362,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Broadmayne,http://sws.geonames.org/2654643
osgb4000000074549684,http://data.ordnancesurvey.co.uk/id/osgb4000000074549684,Whitcombe,,,,populatedPlace,Hamlet,371781.020,88162.660,5000,25000,371531.019,87912.668,372031.019,88412.668,DT2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DT2,,,,West Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014539,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014362,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/2634122
osgb4000000074553418,http://data.ordnancesurvey.co.uk/id/osgb4000000074553418,Cheselbourne,,,,populatedPlace,Village,376302.380,99673.510,10000,250000,375156.831,98970.349,376679.950,100537.181,DT2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DT2,,,,West Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014539,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014362,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/2653237
osgb4000000074550415,http://data.ordnancesurvey.co.uk/id/osgb4000000074550415,Stinsford,,,,populatedPlace,Village,371062.990,91345.910,7000,250000,370898.100,90855.522,371461.791,91932.284,DT2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DT2,,,,West Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014539,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014362,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/7302255
osgb4000000074553415,http://data.ordnancesurvey.co.uk/id/osgb4000000074553415,Puddletown,,,,populatedPlace,Village,375719.000,94320.000,7000,250000,375182.143,93830.401,376298.022,94955.489,DT2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DT2,,,,West Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014539,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014362,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Puddletown,http://sws.geonames.org/2639867
osgb4000000074550038,http://data.ordnancesurvey.co.uk/id/osgb4000000074550038,Winterborne Came,,,,populatedPlace,Hamlet,370552.240,88340.160,5000,25000,370267.546,88106.852,370767.546,88606.852,DT2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DT2,,,,West Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014539,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014362,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Winterborne_Came,
osgb4000000074548538,http://data.ordnancesurvey.co.uk/id/osgb4000000074548538,West Knighton,,,,populatedPlace,Village,373317.560,87645.940,11000,250000,373071.861,86901.764,374228.404,88547.613,DT2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DT2,,,,West Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014539,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014362,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,
osgb4000000074549675,http://data.ordnancesurvey.co.uk/id/osgb4000000074549675,Owermoigne,,,,populatedPlace,Village,376847.890,85386.520,7000,250000,376457.110,84885.191,377531.475,85869.679,DT2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DT2,,,,West Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014539,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014362,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Owermoigne,http://sws.geonames.org/2640744
osgb4000000074553055,http://data.ordnancesurvey.co.uk/id/osgb4000000074553055,Burleston,,,,populatedPlace,Hamlet,377665.390,94253.080,5000,25000,377411.231,94029.068,377911.231,94529.068,DT2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DT2,,,,West Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014539,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014362,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,http://dbpedia.org/resource/Burleston,
osgb4000000074551170,http://data.ordnancesurvey.co.uk/id/osgb4000000074551170,Grimstone,,,,populatedPlace,Hamlet,363984.000,94517.200,5000,25000,363832.998,93913.827,364476.641,94564.370,DT2,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DT2,,,,West Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014539,http://data.ordnancesurvey.co.uk/ontology/admingeo/District,Dorset,http://data.ordnancesurvey.co.uk/id/7000000000014362,http://data.ordnancesurvey.co.uk/ontology/admingeo/County,South West,http://data.ordnancesurvey.co.uk/id/7000000000041427,England,http://data.ordnancesurvey.co.uk/id/country/england,,,http://sws.geonames.org/2647873
