osgb4000000074552731,http://data.ordnancesurvey.co.uk/id/osgb4000000074552731,Ardchiavaig,,,,populatedPlace,Other Settlement,138536.980,719178.160,15000,25000,138073.315,718619.996,139198.428,719435.213,PA67,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA67,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA676DT,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA676DT,PA67 6DT,,,,other,Postcode,138942.811,718742.779,3500,18000,,,,,,,Ardchiavaig,http://data.ordnancesurvey.co.uk/id/4000000074552731,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#otherSettlement,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA676DS,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA676DS,PA67 6DS,,,,other,Postcode,138525.200,719433.500,3500,18000,,,,,,,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
PA676DR,http://data.ordnancesurvey.co.uk/id/postcodeunit/PA676DR,PA67 6DR,,,,other,Postcode,137359.100,719374.000,3500,18000,,,,,,,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
