osgb4000000074337690,http://data.ordnancesurvey.co.uk/id/osgb4000000074337690,Cille Bhrìghde,gla,West Kilbride,eng,populatedPlace,Other Settlement,75338.000,814261.000,15000,25000,74573.457,814010.731,76075.097,814952.492,HS8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS8,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074570637,http://data.ordnancesurvey.co.uk/id/osgb4000000074570637,Earsairidh,,Earsary,eng,populatedPlace,Hamlet,70622.020,800002.420,5000,25000,70256.648,799386.177,71094.693,800680.437,HS9,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS9,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074337681,http://data.ordnancesurvey.co.uk/id/osgb4000000074337681,Rubha Ban,,,,populatedPlace,Village,78688.990,811902.840,3000,250000,78395.042,811622.078,78895.042,812122.078,HS8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS8,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074541015,http://data.ordnancesurvey.co.uk/id/osgb4000000074541015,Gleann dail bho Tuath,gla,North Glendale,eng,populatedPlace,Hamlet,79146.000,817648.000,5000,25000,79073.793,817123.770,79846.190,818055.823,HS8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS8,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074566371,http://data.ordnancesurvey.co.uk/id/osgb4000000074566371,Bogach,,,,populatedPlace,Hamlet,71253.590,802419.780,5000,25000,71039.311,802244.032,71552.022,802744.032,HS9,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS9,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Bogach,
osgb4000000074572715,http://data.ordnancesurvey.co.uk/id/osgb4000000074572715,Borgh,gla,Borve,eng,populatedPlace,Village,65531.350,801266.620,10000,250000,65201.436,800774.610,66704.544,801783.669,HS9,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS9,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,"http://dbpedia.org/resource/Borve,_Barra",
osgb4000000074566040,http://data.ordnancesurvey.co.uk/id/osgb4000000074566040,Leth Meadhanach,,,,populatedPlace,Other Settlement,74741.880,817095.850,15000,25000,74189.147,816800.143,75794.353,817395.622,HS8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS8,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074337671,http://data.ordnancesurvey.co.uk/id/osgb4000000074337671,Cleat,,Cleit,eng,populatedPlace,Other Settlement,66875.820,804604.460,15000,25000,66082.710,804183.134,67324.235,804912.066,HS9,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS9,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074543017,http://data.ordnancesurvey.co.uk/id/osgb4000000074543017,Haun,eng,Haunn,gla,populatedPlace,Hamlet,78997.000,811929.000,5000,25000,78767.244,811637.983,79267.244,812137.983,HS8,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS8,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074566365,http://data.ordnancesurvey.co.uk/id/osgb4000000074566365,Bruairnis,gla,Bruernish,eng,populatedPlace,Other Settlement,71918.320,802339.130,15000,25000,71451.481,801825.429,72436.791,802710.196,HS9,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS9,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
