osgb4000000074551962,http://data.ordnancesurvey.co.uk/id/osgb4000000074551962,Benderloch,,,,populatedPlace,Town,190377.650,738813.210,10000,2000000,189455.457,737926.480,190975.993,739451.038,PA37,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA37,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2641575
osgb4000000074335087,http://data.ordnancesurvey.co.uk/id/osgb4000000074335087,Knipoch,,,,populatedPlace,Hamlet,184964.750,723153.150,5000,25000,184779.426,722948.361,185380.721,723448.361,PA34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA34,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074335217,http://data.ordnancesurvey.co.uk/id/osgb4000000074335217,Airds Bay,,,,populatedPlace,Hamlet,199610.620,732387.490,5000,25000,199357.428,731806.882,200237.390,732711.293,PA35,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA35,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074550844,http://data.ordnancesurvey.co.uk/id/osgb4000000074550844,Kilninver,,,,populatedPlace,Other Settlement,182463.000,721696.000,15000,25000,182111.802,720869.223,183211.817,722232.752,PA34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA34,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2645567
osgb4000000074551581,http://data.ordnancesurvey.co.uk/id/osgb4000000074551581,Lower Soroba,,,,populatedPlace,Suburban Area,186200.000,728498.000,6000,25000,185767.662,728220.398,186630.145,728729.373,PA34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA34,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074551963,http://data.ordnancesurvey.co.uk/id/osgb4000000074551963,Kiel Crofts,,,,populatedPlace,Suburban Area,190155.937,739022.358,7000,25000,189724.823,738591.640,190771.129,739440.566,PA37,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA37,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074334617,http://data.ordnancesurvey.co.uk/id/osgb4000000074334617,Bragleenbeg,,,,populatedPlace,Hamlet,191058.630,720213.000,5000,25000,190787.530,719998.532,191287.530,720502.558,PA34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA34,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074551582,http://data.ordnancesurvey.co.uk/id/osgb4000000074551582,Soroba,,,,populatedPlace,Suburban Area,186262.000,728827.000,7000,25000,185761.643,728504.547,186762.948,729143.944,PA34,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA34,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074541117,http://data.ordnancesurvey.co.uk/id/osgb4000000074541117,Tralee,,,,populatedPlace,Suburban Area,189697.061,739315.486,4000,25000,189444.130,738830.082,189944.130,739451.038,PA37,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA37,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074551579,http://data.ordnancesurvey.co.uk/id/osgb4000000074551579,North Connel,,,,populatedPlace,Village,191153.760,734820.440,7000,250000,190663.472,734617.177,191798.438,735266.291,PA37,http://data.ordnancesurvey.co.uk/id/postcodedistrict/PA37,,,,,,,Argyll and Bute,http://data.ordnancesurvey.co.uk/id/7000000000030106,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
