osgb4000000074564809,http://data.ordnancesurvey.co.uk/id/osgb4000000074564809,Malacleit,,,,populatedPlace,Suburban Area,79319.513,873567.355,12000,25000,79215.281,873447.092,80253.941,875328.304,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074564503,http://data.ordnancesurvey.co.uk/id/osgb4000000074564503,Samhla,,,,populatedPlace,Hamlet,79991.380,862118.560,5000,25000,79568.744,861512.144,80222.272,862859.398,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074564504,http://data.ordnancesurvey.co.uk/id/osgb4000000074564504,Botarubha,gla,Botarua,eng,populatedPlace,Hamlet,78516.640,873210.280,5000,25000,78218.599,872960.275,78814.733,873460.275,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074336992,http://data.ordnancesurvey.co.uk/id/osgb4000000074336992,Cladach Chnoc a Lin,,,,populatedPlace,Hamlet,76058.570,867723.730,5000,25000,75364.538,867660.844,76229.197,868274.148,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074573059,http://data.ordnancesurvey.co.uk/id/osgb4000000074573059,Hogha Gearraidh,gla,Hougharry,eng,populatedPlace,Hamlet,70804.820,870926.620,5000,25000,70389.067,870621.806,70889.067,871265.272,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074336989,http://data.ordnancesurvey.co.uk/id/osgb4000000074336989,Tigh a' Ghearraidh,,Tigharry,eng,populatedPlace,Village,71291.270,872041.580,12000,250000,70789.881,870445.857,72659.960,872331.017,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074542541,http://data.ordnancesurvey.co.uk/id/osgb4000000074542541,Claddach Kirkibost,eng,Cladach Chirceboist,gla,populatedPlace,Village,78382.580,865456.720,12000,250000,77365.317,864740.100,79165.016,866404.074,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074564810,http://data.ordnancesurvey.co.uk/id/osgb4000000074564810,Hosta,,,,populatedPlace,Hamlet,72381.120,872501.610,5000,25000,72213.901,872143.854,72713.901,872643.854,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074336995,http://data.ordnancesurvey.co.uk/id/osgb4000000074336995,Cladach Iolaraigh,,,,populatedPlace,Hamlet,79635.500,864545.700,5000,25000,79159.987,864262.527,80286.056,864795.404,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074542633,http://data.ordnancesurvey.co.uk/id/osgb4000000074542633,Claddach Kyles,eng,Cladach a' Chaolais,gla,populatedPlace,Hamlet,76937.420,866923.540,5000,25000,76480.548,866223.095,77553.107,867489.923,HS6,http://data.ordnancesurvey.co.uk/id/postcodedistrict/HS6,,,,,,,Na h-Eileanan an Iar,http://data.ordnancesurvey.co.uk/id/7000000000030022,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
