osgb4000000074570629,http://data.ordnancesurvey.co.uk/id/osgb4000000074570629,Annat,,,,populatedPlace,Hamlet,189067.490,854263.180,5000,25000,188609.817,854020.438,189866.595,854704.123,IV22,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV22,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,"http://dbpedia.org/resource/Annat,_Highland",
osgb4000000074570992,http://data.ordnancesurvey.co.uk/id/osgb4000000074570992,Alligin Shuas,,,,populatedPlace,Other Settlement,183151.000,858053.000,15000,25000,182416.441,857393.623,183638.021,858298.494,IV22,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV22,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074549431,http://data.ordnancesurvey.co.uk/id/osgb4000000074549431,Kirkton,,,,populatedPlace,Suburban Area,191406.095,841191.036,2000,25000,191117.830,841063.308,191617.830,841563.308,IV54,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV54,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074573386,http://data.ordnancesurvey.co.uk/id/osgb4000000074573386,Kishorn,,,,populatedPlace,Hamlet,183076.480,840306.890,5000,25000,182968.159,839946.507,183722.219,840851.378,IV54,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV54,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,http://sws.geonames.org/2645179
osgb4000000074572706,http://data.ordnancesurvey.co.uk/id/osgb4000000074572706,Achintee,,,,populatedPlace,Hamlet,194172.460,841692.880,5000,25000,193932.291,841400.710,194432.291,841900.710,IV54,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV54,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074573384,http://data.ordnancesurvey.co.uk/id/osgb4000000074573384,Coulags,,,,populatedPlace,Other Settlement,196192.590,845152.880,15000,25000,195978.320,844909.615,196478.320,845409.615,IV54,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV54,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Coulags,
osgb4000000074570991,http://data.ordnancesurvey.co.uk/id/osgb4000000074570991,Inveralligin,,,,populatedPlace,Village,184300.000,857496.000,11000,250000,184074.465,857207.616,185744.378,857815.892,IV22,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV22,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Inveralligin,http://sws.geonames.org/2646144
osgb4000000074572707,http://data.ordnancesurvey.co.uk/id/osgb4000000074572707,Blackwood,,,,populatedPlace,Hamlet,195815.000,843907.000,5000,25000,195187.710,843347.354,195876.420,843990.819,IV54,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV54,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
osgb4000000074573050,http://data.ordnancesurvey.co.uk/id/osgb4000000074573050,Balnacra,,,,populatedPlace,Hamlet,197809.340,846041.870,5000,25000,197449.900,845760.353,198168.778,846323.392,IV54,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV54,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Balnacra,
osgb4000000074570990,http://data.ordnancesurvey.co.uk/id/osgb4000000074570990,Shieldaig,,Sildeag,gla,populatedPlace,Village,181426.530,853794.110,15000,250000,181114.422,852250.905,181999.191,854623.686,IV54,http://data.ordnancesurvey.co.uk/id/postcodedistrict/IV54,,,,,,,Highland,http://data.ordnancesurvey.co.uk/id/7000000000029638,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,http://dbpedia.org/resource/Shieldaig,http://sws.geonames.org/2637994
