DG98JR,http://data.ordnancesurvey.co.uk/id/postcodeunit/DG98JR,DG9 8JR,,,,other,Postcode,199991.000,554030.100,3500,18000,,,,,,,Portpatrick,http://data.ordnancesurvey.co.uk/id/4000000074566345,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
DG90NB,http://data.ordnancesurvey.co.uk/id/postcodeunit/DG90NB,DG9 0NB,,,,other,Postcode,199088.500,557910.900,3500,18000,,,,,,,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
DG98JS,http://data.ordnancesurvey.co.uk/id/postcodeunit/DG98JS,DG9 8JS,,,,other,Postcode,199982.900,553917.600,3500,18000,,,,,,,Portpatrick,http://data.ordnancesurvey.co.uk/id/4000000074566345,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
DG98TW,http://data.ordnancesurvey.co.uk/id/postcodeunit/DG98TW,DG9 8TW,,,,other,Postcode,198694.308,556700.122,3500,18000,,,,,,,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
DG90NE,http://data.ordnancesurvey.co.uk/id/postcodeunit/DG90NE,DG9 0NE,,,,other,Postcode,199537.633,559679.767,3500,18000,,,,,,,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
DG98JL,http://data.ordnancesurvey.co.uk/id/postcodeunit/DG98JL,DG9 8JL,,,,other,Postcode,199992.300,554121.400,3500,18000,,,,,,,Portpatrick,http://data.ordnancesurvey.co.uk/id/4000000074566345,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
DG90ND,http://data.ordnancesurvey.co.uk/id/postcodeunit/DG90ND,DG9 0ND,,,,other,Postcode,198911.100,559549.600,3500,18000,,,,,,,,,,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
DG98TA,http://data.ordnancesurvey.co.uk/id/postcodeunit/DG98TA,DG9 8TA,,,,other,Postcode,199988.900,554343.200,3500,18000,,,,,,,Portpatrick,http://data.ordnancesurvey.co.uk/id/4000000074566345,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
DG98TE,http://data.ordnancesurvey.co.uk/id/postcodeunit/DG98TE,DG9 8TE,,,,other,Postcode,199587.500,554390.200,3500,18000,,,,,,,Portpatrick,http://data.ordnancesurvey.co.uk/id/4000000074566345,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,,,
a15154a0-9bda-417f-98fe-7a8111ff6eec,http://data.ordnancesurvey.co.uk/id/a15154a0-9bda-417f-98fe-7a8111ff6eec,South Crescent,,,,transportNetwork,Section Of Named Road,199978.000,554000.000,2000,25000,199906.232,553891.511,199988.000,554146.762,DG9,http://data.ordnancesurvey.co.uk/id/postcodedistrict/DG9,Portpatrick,http://data.ordnancesurvey.co.uk/id/4000000074566345,http://www.ordnancesurvey.co.uk/xml/codelists/localtype.xml#village,,,,Dumfries and Galloway,http://data.ordnancesurvey.co.uk/id/7000000000031903,http://data.ordnancesurvey.co.uk/ontology/admingeo/UnitaryAuthority,Scotland,http://data.ordnancesurvey.co.uk/id/7000000000041429,Scotland,http://data.ordnancesurvey.co.uk/id/country/scotland,osgb4000000006850304,,
